macro,gas,exact,W_proj
var_0 (6 lags),-0.13590091671503615,-0.14002099309730096,19.09730987105569
var_1 (6 lags),-0.08179222380385351,-0.08155901031836144,33.80147688080112
var_2 (6 lags),-0.11124349894511219,-0.10136808749883264,23.49154117618448
var_3 (6 lags),-0.17064516624180887,-0.17136131314475742,24.5839992908545
var_4 (6 lags),-0.06230232791416912,-0.06982982817771757,17.395238400551964
var_5 (6 lags),-0.012325793690484404,-0.012745379321649746,21.735949433966827
var_6 (6 lags),-0.00983741426545421,-0.010022899329545042,23.96911730923923
var_7 (6 lags),-0.0030164190097394126,-0.0015785463730811967,30.71979042799357
var_8 (6 lags),-0.005851766202660673,-0.006142906144658677,24.20048825104041
var_9 (6 lags),0.00035360434711933744,8.760107051562812e-05,18.4838180326444
var_10 (6 lags),-0.023072237514296094,-0.02109279762010671,25.35011759632988
