macro,gas,exact,W_proj
var_0 (6 lags),-0.13590091671503618,-0.14002099309730096,19.097309871055693
var_1 (6 lags),-0.08179222380385351,-0.08155901031836144,33.80147688080112
var_2 (6 lags),-0.11124349894511218,-0.10136808749883264,23.49154117618448
var_3 (6 lags),-0.17064516624180884,-0.17136131314475742,24.583999290854504
var_4 (6 lags),-0.062302327914169106,-0.06982982817771757,17.395238400551968
var_5 (6 lags),-0.012325793690484407,-0.012745379321649746,21.735949433966827
var_6 (6 lags),-0.009837414265454208,-0.010022899329545042,23.96911730923923
var_7 (6 lags),-0.003016419009739418,-0.0015785463730811967,30.71979042799357
var_8 (6 lags),-0.0058517662026606665,-0.006142906144658677,24.20048825104041
var_9 (6 lags),0.0003536043471193372,8.760107051562813e-05,18.483818032644397
var_10 (6 lags),-0.023072237514296105,-0.02109279762010671,25.350117596329873
