instance,cluster,tier1_uniform_rmse,tier1_evals,tier2_neyman_rmse,tier2_evals,tier3_gp_rmse,tier3_evals,tier4_full_rmse,tier4_evals,tier4_mean_width,tier4_sim_cov,tier4_sign_cert
0,0,0.04002390005119329,1020,0.002815599919340522,996,0.07934111124096352,22,0.0010082065859397514,763,25.76802295735813,1.0,0.0
1,1,0.050297906074877934,992,0.011868361556960607,996,0.07015214627363951,22,0.0029764309604462164,791,23.138700812202373,1.0,0.0
2,0,0.06364293250085337,1042,0.0036333048399001737,996,0.09444609641238498,22,0.0028818747114439606,795,29.4816711991753,1.0,0.0
3,1,0.05120098750281245,998,0.0027282614452531113,996,0.09834958349485436,22,0.0024323351684587885,871,24.051995606590797,1.0,0.0
4,0,0.05663934491229962,972,0.0153619826444508,996,0.10150891536895339,22,0.004928002538847758,816,23.7805045369131,1.0,0.0
5,1,0.02995927297755013,1000,0.005067312645987357,996,0.05364378827502706,22,0.002014745430509307,793,26.371542316931016,1.0,0.0
6,0,0.013641600503969481,1080,0.0038166041569601397,996,0.03970765063112401,22,0.0018572817055561733,827,22.767416989680214,1.0,0.0
7,1,0.013335522764098695,960,0.0016472154901641027,996,0.026856397692338194,22,0.0013651261621158363,739,26.312807335494792,1.0,0.0
8,0,0.030497149457384614,1062,0.003516240205652005,996,0.05975801861438332,22,0.005232879994342834,778,22.83168265404012,1.0,0.0
9,1,0.021529114117053855,1006,0.008678834761183975,996,0.08549903279900478,22,0.0022653350525762635,741,25.231322587067726,1.0,0.0
10,0,0.06240014996373319,1026,0.011830283912147814,996,0.0734546220818069,22,0.0036990380632015867,775,25.307931997407717,1.0,0.0
11,1,0.03563864306044033,978,0.018798307376728503,996,0.09379823460185438,22,0.00536792517092972,819,21.364833271510108,1.0,0.0
12,0,0.031219174840804588,1020,0.005762371735115164,996,0.06984003480187692,22,0.0037012142416459246,846,22.94218194149115,1.0,0.0
13,1,0.03131161937979002,1048,0.0041049067190319245,996,0.03870372697334195,22,0.002842326187677054,826,25.1028351895417,1.0,0.0
14,0,0.05420332080840581,1028,0.005209589042745559,996,0.09225485574681994,22,0.001723989103210237,806,23.97598524443025,1.0,0.0
15,1,0.048003797749660695,962,0.010348152237946703,996,0.06077442359405796,22,0.00461856694294363,874,23.545871926764747,1.0,0.0
16,0,0.03890424433852971,1066,0.007098706240341931,996,0.05976005500847209,22,0.005933640122361239,772,30.941311413013953,1.0,0.0
17,1,0.05938577746660615,964,0.008003062787895967,996,0.11586118047483006,22,0.002079235408530373,771,26.051697308810674,1.0,0.0
18,0,0.023739309668649292,1004,0.0022395107764269406,996,0.05166360925615747,22,0.0008787321012946329,857,20.900598644830584,1.0,0.0
19,1,0.02421666561328751,944,0.007344299057319458,996,0.05825691646069538,22,0.0026365215700091846,785,24.206591631597437,1.0,0.0
