phi_exact,phi_gas,W_gas,kernel_phi,mc_phi,exact_evals,gas_evals,kernel_evals,mc_evals,rmse_gas,mae_gas,rmse_kernel,rmse_mc,sim_cov,mar_cov,sign_cert,mean_width,max_width,status,converged,instance,cluster
"[-2.59806979e-02 -2.92635038e-02 -2.55767897e-02 -1.91646521e-02
 -3.37890349e-02  5.59176955e-04 -5.68668030e-03  2.93671037e-04
 -7.59732709e-04  5.55867964e-09 -1.17285747e-03]","[-2.57188952e-02 -2.97660597e-02 -2.75571246e-02 -2.03712897e-02
 -3.22369366e-02  1.07083267e-03 -5.83891206e-03  6.62188374e-04
  7.16033934e-04 -5.86127398e-06 -1.49507122e-03]","[ 6.77763677 11.34595248  8.96451179  9.29913673  6.71330482  8.34319838
  8.68698794 11.91863238  8.94236974  6.77156573  8.72959482]","[-0.02673889 -0.02747874 -0.02480271 -0.0190325  -0.03707294  0.00273088
 -0.00676222 -0.00067312  0.          0.00058586 -0.00129673]","[-1.69387212e-02 -2.20845638e-02 -1.56101916e-02 -1.32766185e-02
 -2.16655510e-02  5.65254901e-04 -3.31730641e-03  2.06689918e-04
 -1.29709224e-03  2.02216758e-09 -8.04876243e-04]",2048,1499,256,1662,0.0009913410097392391,0.000758152849237938,0.0014429900999795334,0.006181505425001897,1.0,1.0,0.0,8.77208105280409,11.918632380585203,BUDGET_EXHAUSTED,False,0,0
"[-0.00884871 -0.00389753 -0.00271488 -0.05655262 -0.0070776  -0.15069075
 -0.00941357 -0.0214819   0.0151081  -0.00028766 -0.03661238]","[-0.00903046 -0.00434429 -0.00341413 -0.05695192 -0.00787499 -0.14809401
 -0.01193029 -0.02163085  0.01463319 -0.00122629 -0.03260544]","[ 9.63718562  9.91609058  7.21385416 11.87719842 11.61286494  7.42575446
 12.06537721  9.16370643  7.21695841  9.76511033  8.77849574]","[-0.00751013 -0.00355945 -0.00762663 -0.05699606  0.         -0.15452262
 -0.01200008 -0.01151439  0.01441375 -0.00570487 -0.03744902]","[-0.00586145 -0.00187956 -0.00210687 -0.03625481 -0.00430874 -0.08897141
 -0.00464615 -0.01104425  0.01057388 -0.00013107 -0.02399126]",2048,1495,256,1602,0.0016996827224727696,0.0012006692685772626,0.004548457483438407,0.02034667772194612,1.0,1.0,0.0,9.515690572618528,12.065377213839168,BUDGET_EXHAUSTED,False,1,1
"[ 3.44261844e-02  3.13835185e-02  2.04368505e-02  5.45895262e-02
  4.69912095e-02  1.72760586e-01 -5.38401405e-02  6.40503404e-02
 -1.90177974e-01  4.45515456e-05 -3.18855996e-01]","[ 0.03374609  0.03104448  0.01908226  0.05336302  0.04527988  0.17619972
 -0.05740397  0.06290847 -0.19103447  0.00118781 -0.31256464]","[ 9.75710259 11.33041367  7.26235348  9.87387945 10.33640463  9.06856927
  7.27986115  9.73662357  7.20060754 11.7131188   9.73283361]","[ 0.04460405  0.03049399  0.02331218  0.06687981  0.03337317  0.16462037
 -0.05284996  0.07902786 -0.20291944  0.         -0.32473336]","[ 2.18433773e-02  1.84691826e-02  1.32888814e-02  3.40006466e-02
  2.86473973e-02  9.60633800e-02  4.25339320e-04  3.82742996e-02
 -6.41446647e-02  5.35005565e-05 -1.17468701e-01]",2048,1350,256,1648,0.002598942769801749,0.0019770452088781728,0.009232401546272594,0.07808471151410551,1.0,1.0,0.0,9.390160704666759,11.713118800053412,BUDGET_EXHAUSTED,False,2,2
"[ 1.55724141e-02  1.46316427e-02  1.53125589e-02 -2.08355476e-02
  1.01204454e-02  1.03240182e-02 -2.03335619e-02 -2.76157757e-02
 -2.60075111e-01  1.35226379e-07 -5.00929175e-02]","[ 0.01559831  0.01459072  0.01436717 -0.01930121  0.00954918  0.01223196
 -0.02016362 -0.02940336 -0.25953502 -0.00036678 -0.05055905]","[11.01445949 11.65028933  6.69993666  8.70588701  6.78818505 10.90049806
  6.7656623   7.00164694  6.89652757 11.04581058  8.99981387]","[ 0.01452417  0.01153131  0.01232808 -0.02660863  0.01359725  0.01257469
 -0.01722504 -0.03682363 -0.2536166   0.         -0.04327331]","[ 1.02604190e-02  8.40993238e-03  1.15556569e-02 -1.38046110e-02
  7.57529309e-03  5.51849848e-03 -1.38289927e-02 -1.75492760e-02
 -1.33948791e-01  5.77395051e-08 -2.99527502e-02]",2048,1394,256,1683,0.001003848948909121,0.0007596743940286029,0.004793624381917567,0.03886709874675125,1.0,1.0,0.0,8.769883350986209,11.650289325255045,BUDGET_EXHAUSTED,False,3,3
"[-2.28481618e-02 -2.75548756e-02 -2.52710796e-02 -1.14798456e-02
 -4.16794867e-02 -1.32355113e-02 -2.05052677e-02 -8.01861529e-03
 -1.18767156e-02  1.58022353e-05 -3.63522692e-03]","[-0.02219361 -0.02823734 -0.02459226 -0.01181445 -0.03973769 -0.01309874
 -0.02095378 -0.00847674 -0.01284817 -0.00045131 -0.0036849 ]","[ 6.92627185  9.2786941  11.05099925 11.80270829  6.98235771  9.43624111
  7.13442717  8.89288157  6.88559986  9.32552773 10.63949355]","[-0.02053782 -0.02388743 -0.02949486 -0.01646661 -0.03962137 -0.01640144
 -0.01806373 -0.01550717 -0.00624953  0.00014098  0.        ]","[-1.52715734e-02 -1.87410684e-02 -1.71019254e-02 -6.50436284e-03
 -2.59564056e-02 -9.87815540e-03 -1.47468720e-02 -6.11979085e-03
 -9.35441689e-03  1.00769543e-05 -1.64023209e-03]",2048,1473,256,1632,0.0007880718410564451,0.0006203512097987802,0.00407531581850631,0.006955522316509217,1.0,1.0,0.0,8.941382016663228,11.802708286440371,BUDGET_EXHAUSTED,False,4,0
"[ 0.02657495  0.02343298  0.0065784   0.22045841  0.05238903 -0.01701958
  0.23288681  0.22041749  0.03908643 -0.00574523 -0.02136971]","[ 0.02831677  0.02474743  0.00829707  0.21781406  0.05094604 -0.02299168
  0.23330399  0.21853953  0.04242843 -0.00201591 -0.02169575]","[11.60347095 11.79468418  9.29833727 12.30896522  9.58276732 12.63491835
  9.58923506 15.11918339 16.25007223 12.98804789 12.95730862]","[ 0.01700043  0.00421827 -0.00907427  0.22506472  0.04186751  0.
  0.23617055  0.22711064  0.04432412  0.00930653 -0.01829853]","[ 0.00803407  0.00633527  0.00272075  0.06097959  0.01020296 -0.04196175
  0.08154311  0.08093942  0.03516916 -0.00299957 -0.01434975]",2048,1367,256,1674,0.002719296140284567,0.00222971822743519,0.01146723128218613,0.08029347281566229,1.0,1.0,0.0,12.193362769984601,16.25007222945772,BUDGET_EXHAUSTED,False,5,1
"[0.02700306 0.0233477  0.00933484 0.07261124 0.02398587 0.24474866
 0.0468243  0.04818442 0.11969608 0.         0.08168837]","[ 0.02725759  0.02247757  0.00933304  0.07455373  0.02225012  0.24378005
  0.04847161  0.04890482  0.11748744 -0.00091103  0.08381961]","[ 9.67564519  8.74152653  7.15887287  9.56987617 11.5145099   9.85665857
 11.4148831   8.56276771  6.94538723  8.82493248  9.88676438]","[0.02939181 0.02920319 0.01669423 0.06670358 0.0250794  0.23524975
 0.03992801 0.04676167 0.12451604 0.         0.08389685]","[0.01755373 0.01473603 0.00590476 0.04412352 0.01081559 0.13631065
 0.02808101 0.03034135 0.06878791 0.         0.05745891]",2048,1445,256,1640,0.001415150357564807,0.001217450987750683,0.005206388026918207,0.03904242535699074,1.0,1.0,0.0,9.28652946563433,11.514509898224965,BUDGET_EXHAUSTED,False,6,2
"[-5.62695916e-02 -5.69048015e-02 -6.68507462e-02 -4.00470847e-02
 -5.46683139e-02 -9.65927358e-05  1.27907728e-02 -2.28330082e-02
  2.38790692e-02  1.48969477e-05 -5.22309621e-02]","[-0.05553445 -0.05573471 -0.06798476 -0.0386842  -0.05787069 -0.0011661
  0.01293788 -0.02161078  0.02336728 -0.00074765 -0.05018817]","[ 8.35681596  7.82100526 13.24712014  8.14711247 10.59124471  9.95820755
 11.07559804 12.41055219 10.68437795 11.03038289  9.73834079]","[-0.05012262 -0.058337   -0.06815258 -0.03513414 -0.04371322 -0.00997458
  0.         -0.0182107   0.02894172 -0.009678   -0.04883525]","[-3.71414376e-02 -3.93788520e-02 -4.66148141e-02 -2.68843033e-02
 -3.41578462e-02  1.40678759e-03  1.12073835e-02 -1.56207077e-02
  1.54299417e-02  7.72939277e-06 -3.49322652e-02]",2048,1533,256,1619,0.0014454918402446555,0.0012145872443634065,0.00738142760366023,0.013829788349839943,1.0,1.0,0.0,10.278250723156187,13.24712014172053,BUDGET_EXHAUSTED,False,7,3
"[-7.78359014e-02 -8.54775459e-03  7.96053808e-02 -3.42298617e-02
 -1.98109065e-02  4.00872972e-02  7.00635621e-02 -2.62146896e-02
  2.64008630e-03  7.64765460e-05 -1.10420306e-02]","[-0.07924953 -0.00736625  0.08222763 -0.03281993 -0.01986064  0.04094931
  0.06744003 -0.02737828  0.00159376  0.0001404  -0.01088481]","[12.90159135 10.88836974 11.62050433  8.77779361 11.56042793 10.6569707
  8.97865306 11.83198975 12.68040565 14.21877167 12.05782606]","[-0.07991205 -0.00755182  0.07314001 -0.04138474 -0.01394225  0.03723943
  0.0653032  -0.01884633  0.00845647  0.         -0.00771026]","[-3.63526459e-02 -6.18062541e-03  3.58670521e-02 -1.14687507e-02
 -9.10725612e-03  7.93027365e-03  2.92620353e-02  1.64419554e-03
  1.01685624e-02  2.57300542e-05 -3.78113123e-04]",2048,1364,256,1664,0.0014258770150590576,0.001144876510192491,0.004887253454259475,0.026828575982373638,1.0,1.0,0.0,11.47030034871685,14.218771668341603,BUDGET_EXHAUSTED,False,8,0
"[ 2.36264242e-03  1.09003027e-03  1.21020506e-03 -2.56058208e-02
  7.04485308e-04 -1.38165730e-01 -2.86504032e-02 -3.04204530e-02
 -4.89743355e-03 -2.48089996e-05 -1.20280818e-02]","[ 0.00329789  0.00117661  0.00112154 -0.02611619  0.00031606 -0.1391246
 -0.0299891  -0.02794865 -0.00567112 -0.00027966 -0.01120816]","[11.4541155   6.99554059 11.62414608  9.33267211  9.55507522  8.89523192
  7.0617618   9.08717037 11.22112687  6.90420485  7.01973504]","[ 0.00144075  0.00135123 -0.00098166 -0.02287636  0.00126155 -0.13629536
 -0.03110655 -0.03320974 -0.00499019  0.         -0.00901904]","[ 1.72521734e-03  8.13445348e-04  7.12954335e-04 -1.53638059e-02
  4.96614492e-04 -8.65090317e-02 -1.96355525e-02 -2.12749867e-02
 -1.37276623e-03 -1.94957612e-05 -9.06629534e-03]",2048,1525,256,1643,0.0010206304786643603,0.0007842832425873747,0.0019035208565006613,0.016404514851145933,1.0,1.0,0.0,9.013707304803704,11.62414607945796,BUDGET_EXHAUSTED,False,9,1
