instance,cluster,rmse,sim_cov,mar_cov,sign_cert,mean_width,gas_evals,status
0,0,0.0009672388472480307,1.0,1.0,0.0,0.49742521630325487,1490,BUDGET_EXHAUSTED
1,1,0.00262505099378356,1.0,1.0,0.0,2.6395003525556975,1504,BUDGET_EXHAUSTED
2,2,0.0016543627645383943,1.0,1.0,0.0,1.3443539542368623,1412,BUDGET_EXHAUSTED
3,3,0.0032012809394937297,1.0,1.0,0.0,2.396134707098707,1430,BUDGET_EXHAUSTED
4,0,0.0006141882745916371,1.0,1.0,0.0,0.6196816983322905,1469,BUDGET_EXHAUSTED
5,1,0.004232862458116497,1.0,1.0,0.0,1.9554185348014548,1514,BUDGET_EXHAUSTED
6,2,0.0032484279192087264,1.0,1.0,0.0,2.098396295076464,1414,BUDGET_EXHAUSTED
7,3,0.0028249282845340448,1.0,1.0,0.0,3.35900811122216,1315,BUDGET_EXHAUSTED
8,0,0.0004694644609988488,1.0,1.0,0.0,0.2673045076750839,1373,BUDGET_EXHAUSTED
9,1,0.0029547719331845905,1.0,1.0,0.0,3.0839407992055103,1505,BUDGET_EXHAUSTED
10,2,0.0010155717200757565,1.0,1.0,0.0,1.8020361295117653,1453,BUDGET_EXHAUSTED
11,3,0.0028261484644467316,1.0,1.0,0.0,1.2936045523638402,1404,BUDGET_EXHAUSTED
12,0,0.00104438354253741,1.0,1.0,0.0,0.4532134603456724,1385,BUDGET_EXHAUSTED
13,1,0.002464753928624634,1.0,1.0,0.0,0.8720207198886204,1410,BUDGET_EXHAUSTED
14,2,0.001543053965831614,1.0,1.0,0.0,2.6717736877995453,1422,BUDGET_EXHAUSTED
15,3,0.0012650958578515688,1.0,1.0,0.0,0.91527933656858,1356,BUDGET_EXHAUSTED
16,0,0.0009875286652051782,1.0,1.0,0.0,0.49334067954872096,1423,BUDGET_EXHAUSTED
17,1,0.0003524807840609118,1.0,1.0,0.0,0.4942826299105697,1485,BUDGET_EXHAUSTED
18,2,0.0029538511937859044,1.0,1.0,0.0,2.954487405838529,1465,BUDGET_EXHAUSTED
19,3,0.001733654125884012,1.0,1.0,0.0,2.082887375604854,1458,BUDGET_EXHAUSTED
