dataset,instance,K,gas_rmse,odd_logodds_rmse,gp_quadrature_rmse,gas_coalition_evals,gas_model_evals,gp_design_size,gp_unique_coalitions,game
wine,0,256,0.00212768138365421,2.2871342969349104,0.006802841117878202,498,31745,256,235,membership
wine,0,1024,0.0013000202834239564,2.2871342969349104,0.00045452781316239786,851,54337,1024,815,membership
wine,0,2048,0.0008854210690665191,2.2871342969349104,0.000611048158774766,1219,77889,1024,806,membership
wine,1,256,0.0022520600306487615,0.7034196703274648,0.015891600644294894,435,27713,256,242,membership
wine,1,1024,0.0018112513232258695,0.7034196703274648,0.006058217671424568,756,48257,1024,794,membership
wine,1,2048,0.00152237031952787,0.7034196703274648,0.00427793060526197,1167,74561,1024,806,membership
wine,2,256,0.0064171571167420186,1.5414427541109443,0.013578818215366141,441,28097,256,244,membership
wine,2,1024,0.0029657311900300526,1.5414427541109443,0.004663476366217108,814,51969,1024,811,membership
wine,2,2048,0.0013139830731610845,1.5414427541109443,0.0016616475626933848,1186,75777,1024,803,membership
wine,3,256,0.004800407360021461,1.8296647236725279,0.010163842662544212,446,28417,256,242,membership
wine,3,1024,0.0014819167924280646,1.8296647236725279,0.0014689519022800038,814,51969,1024,824,membership
wine,3,2048,0.0016353088018891432,1.8296647236725279,0.002461863834111976,1185,75713,1024,796,membership
wine,4,256,0.004153537012836824,1.45744149493179,0.019682572513932472,448,28545,256,238,membership
wine,4,1024,0.0044712882175093095,1.45744149493179,0.004306396467840253,855,54593,1024,797,membership
wine,4,2048,0.0022590488378260365,1.45744149493179,0.0026822164021962644,1256,80257,1024,784,membership
wine,5,256,0.0032850012485097927,1.3977176373194018,0.009194321115666579,475,30273,256,235,membership
wine,5,1024,0.0017844975312724875,1.3977176373194018,0.002858464833657672,830,52993,1024,819,membership
wine,5,2048,0.0009822351075995267,1.3977176373194018,0.0013342063066988776,1245,79553,1024,807,membership
wine,6,256,0.004071140040307037,2.162853475509824,0.00594295171815541,470,29953,256,240,membership
wine,6,1024,0.001342683939111905,2.162853475509824,0.0015403845438959744,816,52097,1024,805,membership
wine,6,2048,0.0012057995515864035,2.162853475509824,0.0008427071560365215,1181,75457,1024,791,membership
wine,7,256,0.0010380307993663428,2.3312312804897757,0.005869855641738461,480,30593,256,241,membership
wine,7,1024,0.0006248218611104345,2.3312312804897757,0.0012580432285768614,803,51265,1024,807,membership
wine,7,2048,0.0007970174810527024,2.3312312804897757,0.0007457121702232775,1203,76865,1024,798,membership
wine,8,256,0.005057570991302687,1.5250016722439441,0.006582472960084694,489,31169,256,243,membership
wine,8,1024,0.0050159630447865625,1.5250016722439441,0.0017747305869946204,860,54913,1024,810,membership
wine,8,2048,0.0027372801118124095,1.5250016722439441,0.001596711757388112,1211,77377,1024,782,membership
wine,9,256,0.0048271404735605985,2.585880723044787,0.009160443050567986,419,26689,256,239,membership
wine,9,1024,0.0026357059712898002,2.585880723044787,0.001561431468870391,811,51777,1024,805,membership
wine,9,2048,0.0017852762525957593,2.585880723044787,0.0015675877516254549,1215,77633,1024,817,membership
wine,10,256,0.005278797173256346,0.8741297255055217,0.017814135371490295,436,27777,256,243,membership
wine,10,1024,0.0021356552437629553,0.8741297255055217,0.0031634320843720453,765,48833,1024,814,membership
wine,10,2048,0.002727806259906907,0.8741297255055217,0.003546993203362533,1162,74241,1024,806,membership
wine,11,256,0.0073531451520956375,2.0805708516316863,0.01100227184010686,445,28353,256,239,membership
wine,11,1024,0.005394783755102975,2.0805708516316863,0.0017922403685645524,807,51521,1024,805,membership
wine,11,2048,0.00586048670907732,2.0805708516316863,0.003464332185651989,1159,74049,1024,822,membership
wine,12,256,0.0030051621278296857,1.6461600974220971,0.009956479347954416,477,30401,256,240,membership
wine,12,1024,0.0023188176947888904,1.6461600974220971,0.001081433850150596,805,51393,1024,808,membership
wine,12,2048,0.0012292665360992506,1.6461600974220971,0.0018620088406203145,1139,72769,1024,808,membership
wine,13,256,0.005697264366718344,0.8511767833128244,0.012506401257738744,474,30209,256,241,membership
wine,13,1024,0.002308445763125992,0.8511767833128244,0.002331210929430815,859,54849,1024,792,membership
wine,13,2048,0.0019510487293229878,0.8511767833128244,0.0022614533208084064,1247,79681,1024,818,membership
wine,14,256,0.004281051027625379,1.4922975174557904,0.009783522999345836,457,29121,256,242,membership
wine,14,1024,0.0024376588459789073,1.4922975174557904,0.002112177047922069,817,52161,1024,797,membership
wine,14,2048,0.0015017867559603375,1.4922975174557904,0.002505707261195358,1209,77249,1024,796,membership
wine,15,256,0.00844835297038524,1.2558577632138417,0.012187816839241224,475,30273,256,244,membership
wine,15,1024,0.006871864676020091,1.2558577632138417,0.0013570594553935112,853,54465,1024,811,membership
wine,15,2048,0.003256372240601182,1.2558577632138417,0.00199263566741073,1249,79809,1024,785,membership
wine,16,256,0.006145306317140337,1.1181549676672278,0.006588312745196317,456,29057,256,246,membership
wine,16,1024,0.003922078909742191,1.1181549676672278,0.0025765802187395323,830,52993,1024,798,membership
wine,16,2048,0.0038876394988849434,1.1181549676672278,0.0018619036745793343,1212,77441,1024,797,membership
wine,17,256,0.006004739402998786,2.1189596737390697,0.015613777910204865,452,28801,256,238,membership
wine,17,1024,0.004920030428468292,2.1189596737390697,0.0012647896158488154,794,50689,1024,809,membership
wine,17,2048,0.002359847628986805,2.1189596737390697,0.001623781423293705,1216,77697,1024,799,membership
wine,18,256,0.00212865414911001,2.045422182830886,0.007733985374415158,418,26625,256,246,membership
wine,18,1024,0.0010549120742749931,2.045422182830886,0.0010628661561274662,777,49601,1024,804,membership
wine,18,2048,0.0016257054585785643,2.045422182830886,0.0009485967686263015,1225,78273,1024,809,membership
wine,19,256,0.002045372255742507,1.9590198180201168,0.012777548210166377,449,28609,256,239,membership
wine,19,1024,0.002104110699732337,1.9590198180201168,0.001960683369270074,841,53697,1024,800,membership
wine,19,2048,0.00144036789284706,1.9590198180201168,0.002699318713725867,1226,78337,1024,793,membership
air,0,256,0.0013354488310613319,1.2097540405273366,0.0010373398500284755,507,32321,256,235,membership
air,0,1024,0.001371657225740851,1.2097540405273366,0.0006238041705073887,903,57665,1024,815,membership
air,0,2048,0.0013558954201519412,1.2097540405273366,0.0007299126312199517,1273,81345,1024,806,membership
air,1,256,0.003684718722579587,1.6501781922705507,0.004737313365618505,431,27457,256,242,membership
air,1,1024,0.0028995715927155772,1.6501781922705507,0.000932182795320775,771,49217,1024,794,membership
air,1,2048,0.0019172731965166091,1.6501781922705507,0.001099554834680225,1230,78593,1024,806,membership
air,2,256,0.007394770232274538,0.6263552941276852,0.025567901979009475,444,28289,256,244,membership
air,2,1024,0.004387919437080547,0.6263552941276852,0.006756745337732973,806,51457,1024,811,membership
air,2,2048,0.002867668255213875,0.6263552941276852,0.0034068459960065896,1146,73217,1024,803,membership
air,3,256,0.003594556053132791,1.84193505088789,0.009002328766080115,438,27905,256,242,membership
air,3,1024,0.0023295475158846618,1.84193505088789,0.0011336070354945463,783,49985,1024,824,membership
air,3,2048,0.0016433823874216812,1.84193505088789,0.0016627921000390527,1141,72897,1024,796,membership
air,4,256,0.0021288125598945603,1.3472737616709407,0.0033445862856837905,443,28225,256,238,membership
air,4,1024,0.001705910490251566,1.3472737616709407,0.0013132039457271687,844,53889,1024,797,membership
air,4,2048,0.0011313773629408668,1.3472737616709407,0.0017715513846153403,1259,80449,1024,784,membership
air,5,256,0.007137276409401478,0.5800854359541604,0.044976149112718376,487,31041,256,235,membership
air,5,1024,0.004347496698799655,0.5800854359541604,0.012927676574171817,808,51585,1024,819,membership
air,5,2048,0.0029235687950767736,0.5800854359541604,0.006385103646622854,1155,73793,1024,807,membership
air,6,256,0.005819254416178141,1.4539426760236764,0.009659121927685865,470,29953,256,240,membership
air,6,1024,0.005223037194353594,1.4539426760236764,0.0016039588566405972,817,52161,1024,805,membership
air,6,2048,0.0023580089275476164,1.4539426760236764,0.0023685501690739693,1221,78017,1024,791,membership
air,7,256,0.003573008933286646,1.5083443510274328,0.005936503771992057,478,30465,256,241,membership
air,7,1024,0.0028291211396631335,1.5083443510274328,0.004272124432688226,838,53505,1024,807,membership
air,7,2048,0.002406853940751262,1.5083443510274328,0.0022110436620421657,1287,82241,1024,798,membership
air,8,256,0.00394815246279768,0.2076430989237424,0.012070719592674835,487,31041,256,243,membership
air,8,1024,0.0026588019112875477,0.2076430989237424,0.0033203188287990195,843,53825,1024,810,membership
air,8,2048,0.001594581744599171,0.2076430989237424,0.00906462301051945,1165,74433,1024,782,membership
air,9,256,0.0024522314074064146,2.1639939882878436,0.00526601339779898,406,25857,256,239,membership
air,9,1024,0.0008004607330270235,2.1639939882878436,0.0009304373802595442,808,51585,1024,805,membership
air,9,2048,0.0011742908777757674,2.1639939882878436,0.0010945706085907449,1230,78593,1024,817,membership
air,10,256,0.0043610746839858276,2.415202709172206,0.016341518118970447,436,27777,256,243,membership
air,10,1024,0.0025883975876696457,2.415202709172206,0.0023553520382200337,759,48449,1024,814,membership
air,10,2048,0.0028064266174737894,2.415202709172206,0.0024301076173378114,1189,75969,1024,806,membership
air,11,256,0.005853403754200663,1.2133497909659567,0.016106220513845387,463,29505,256,239,membership
air,11,1024,0.0029365570284816864,1.2133497909659567,0.001871654870630903,820,52353,1024,805,membership
air,11,2048,0.0025090098406730654,1.2133497909659567,0.0032334247380746872,1155,73793,1024,822,membership
air,12,256,0.0037793382537256517,1.4099322604336813,0.005711394803373114,465,29633,256,240,membership
air,12,1024,0.0015051937276870026,1.4099322604336813,0.0018643291516071074,828,52865,1024,808,membership
air,12,2048,0.0008053833143969492,1.4099322604336813,0.001674982461672125,1222,78081,1024,808,membership
air,13,256,0.005004096079278353,1.3400308749611924,0.01960688529257582,474,30209,256,241,membership
air,13,1024,0.003970136256918722,1.3400308749611924,0.0021827620280872565,838,53505,1024,792,membership
air,13,2048,0.0024970324319178337,1.3400308749611924,0.0017592462050773344,1231,78657,1024,818,membership
air,14,256,0.007687602900625845,2.4189722573503887,0.013233014990100277,463,29505,256,242,membership
air,14,1024,0.0045870629830567,2.4189722573503887,0.0024625185359643652,816,52097,1024,797,membership
air,14,2048,0.002333695560050383,2.4189722573503887,0.0013145909575095695,1241,79297,1024,796,membership
air,15,256,0.008964318852527662,1.6578590344276212,0.012206770667410443,478,30465,256,244,membership
air,15,1024,0.006619656980303865,1.6578590344276212,0.006092086105521811,832,53121,1024,811,membership
air,15,2048,0.005453518740155532,1.6578590344276212,0.005977804009356841,1194,76289,1024,785,membership
air,16,256,0.0017041463529168018,1.4748867365091454,0.0015702131243395172,441,28097,256,246,membership
air,16,1024,0.001198745895145781,1.4748867365091454,0.0010587726569562333,756,48257,1024,798,membership
air,16,2048,0.0004908485093115867,1.4748867365091454,0.0007072378430888999,1117,71361,1024,797,membership
air,17,256,0.0032281937413171907,1.6937432377297594,0.0064353772612899115,430,27393,256,238,membership
air,17,1024,0.0014736601756107253,1.6937432377297594,0.001089990729576714,797,50881,1024,809,membership
air,17,2048,0.0022336202571429527,1.6937432377297594,0.0014847594816672941,1208,77185,1024,799,membership
air,18,256,0.007468163906767193,1.8164863531253206,0.008414989249453298,422,26881,256,246,membership
air,18,1024,0.005954318728704783,1.8164863531253206,0.001659702217623958,793,50625,1024,804,membership
air,18,2048,0.004054125760510375,1.8164863531253206,0.001876512816895648,1201,76737,1024,809,membership
air,19,256,0.005778546252070365,1.6875653304964606,0.015333683066420672,449,28609,256,239,membership
air,19,1024,0.004754745960557949,1.6875653304964606,0.0028444831798382767,859,54849,1024,800,membership
air,19,2048,0.002976638660495019,1.6875653304964606,0.003506622998926261,1257,80321,1024,793,membership
