instance,cluster,regime,rmse_vs_exact,spearman_driver_corr,top3_gas
0,0,winter_smog,0.0009728373312994147,0.6419837777069005,"PM10,CO,PM2.5"
1,1,photochemical,0.0013168907627477617,0.53550052474627,"O3,NO2,WSPM"
2,2,clean_air,0.00285431720309524,0.40024936794580945,"WSPM,DEWP,O3"
3,3,clean_air,0.0012945628669550368,-0.07534105749568179,"DEWP,WSPM,PRES"
4,0,winter_smog,0.0010559214248665625,0.5857516219953471,"CO,PM10,SO2"
5,1,photochemical,0.0032722762355705225,0.3663950958790268,"NO2,TEMP,PRES"
6,2,clean_air,0.001425901939564778,0.2825289656088067,"O3,DEWP,WSPM"
7,3,clean_air,0.0007940784967127121,0.3767052874784089,"SO2,PM10,CO"
8,0,winter_smog,0.001599552587453535,0.23898666177410163,"PM2.5,SO2,TEMP"
9,1,photochemical,0.0012160195686267067,0.4415530642644682,"O3,TEMP,PRES"
10,2,clean_air,0.002544210026225002,0.17893501155224423,"O3,DEWP,NO2"
11,3,clean_air,0.002852860247275578,-0.3060730460762073,"TEMP,DEWP,PM10"
12,0,winter_smog,0.0003552021143776832,0.6982159334184538,"CO,PM2.5,PM10"
13,1,photochemical,0.002712431466542858,0.375789841927207,"O3,TEMP,PRES"
14,2,clean_air,0.0022881294137857043,0.1130115862435227,"O3,DEWP,PRES"
15,3,clean_air,0.005982676131825825,-0.1224292184304829,"DEWP,TEMP,PRES"
16,0,winter_smog,0.0010874840687441973,0.6279257387790121,"SO2,PM2.5,CO"
17,1,photochemical,0.0017778247450292578,0.37109246890311687,"O3,NO2,WSPM"
18,2,clean_air,0.0034358770284309997,0.1648085632718039,"DEWP,WSPM,PRES"
19,3,clean_air,0.00214635310997242,-0.4520463449740908,"DEWP,TEMP,PRES"
