dataset,instance,unique_cap,gas_rmse,shaplEIG_rmse,gas_unique_evals,gas_unique_coalitions,gas_coalition_eval_calls,gas_model_evals,shaplEIG_unique_queries,shaplEIG_unique_coalitions,shaplEIG_model_evals,gas_attempted_draws,gas_wall_s,shaplEIG_wall_s,cap_honored,unique_matched,fixed_cost,source
wine,0,512,0.0027419425632892675,5.173801636338676e-05,463,463,502,29505,512,512,32705,502,10.3,371.5,True,True,310,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,0,1024,0.0013801795443724066,0.00011901412959269012,712,712,1018,45441,1024,1024,65473,1018,13.5,3632.3,True,True,310,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,1,512,0.0030037739279798865,0.0007272913938615198,419,419,512,26689,512,512,32705,512,7.8,269.4,True,True,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,1,1024,0.0017160602578747892,0.00018811118977949995,614,614,1016,39169,1024,1024,65473,1016,11.7,1510.6,True,False,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,2,512,0.007062621878840079,0.0004009021722464437,420,420,501,26753,512,512,32705,501,7.9,281.9,True,True,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,2,1024,0.003173161748443329,0.00020557350909627844,651,651,1017,41537,1024,1024,65473,1017,12.3,52002.1,True,False,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,3,512,0.004678095551272395,0.0002298704920617491,425,425,510,27073,512,512,32705,510,8.1,263.6,True,True,294,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,3,1024,0.002689644504058654,0.00010533213476578175,697,697,1014,44481,1024,1024,65473,1014,13.3,1612.1,True,True,294,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,4,512,0.005810056462766474,0.0007434661336748975,423,423,501,26945,512,512,32705,501,8.0,246.5,True,True,297,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,4,1024,0.007458837793980869,0.00020036735625506694,680,680,1017,43393,1024,1024,65473,1017,13.0,1378.1,True,True,297,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,5,512,0.0034367513598678244,0.00030632235119596157,438,438,501,27905,512,512,32705,501,8.4,264.1,True,True,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,5,1024,0.0021637602133903356,0.0002389433471835713,666,666,1017,42497,1024,1024,65473,1017,12.7,33739.7,True,True,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,6,512,0.0038699268984008967,0.00017094010134414113,432,432,512,27521,512,512,32705,512,11.0,321.8,True,True,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,6,1024,0.002500505121946524,7.59727968327371e-05,656,656,1016,41857,1024,1024,65473,1016,13.1,1595.2,True,False,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,7,512,0.0010578637465849168,0.000256593225296726,445,445,508,28353,512,512,32705,508,8.6,284.4,True,True,304,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,7,1024,0.0012123885684640014,0.0002621445736799125,632,632,1024,40321,1024,1024,65473,1024,12.3,2058.5,True,False,304,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,8,512,0.0048448476376149715,0.00035115748713191754,467,467,507,29761,512,512,32705,507,8.7,258.7,True,True,315,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,8,1024,0.004204955651627568,7.072837480996662e-05,712,712,1023,45441,1024,1024,65473,1023,13.0,1511.4,True,True,315,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,9,512,0.005151926295721416,0.00015009666870293646,405,405,510,25793,512,512,32705,510,7.5,257.6,True,True,306,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,9,1024,0.0032325410025455617,7.146851143172493e-05,633,633,1014,40385,1024,1024,65473,1014,11.6,1788.2,True,False,306,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,0,512,0.0016014362148909884,0.0002277602901536583,473,473,502,30145,512,512,32705,502,9.0,351.7,True,True,310,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
