instance,mode,rmse,sim_cov,mean_width,sign_cert,gas_evals,status,R_eff,delta1,level,heuristic
0,spec,0.0004974555509334127,1.0,8.659032151588711,0.0,1464,BUDGET_EXHAUSTED,4.0,,,False
1,spec,0.0006961553834215163,1.0,8.93923491657235,0.0,1483,BUDGET_EXHAUSTED,4.0,,,False
2,spec,0.00025429691632866864,1.0,8.549936775819305,0.0,1438,BUDGET_EXHAUSTED,4.0,,,False
3,spec,0.0005244548202946005,1.0,8.892210244053942,0.0,1387,BUDGET_EXHAUSTED,4.0,,,False
4,spec,0.0009862500297951051,1.0,8.71766873556915,0.0,1476,BUDGET_EXHAUSTED,4.0,,,False
0,finite_population,0.0004974555509334127,1.0,0.47371997075397265,0.0,1464,BUDGET_EXHAUSTED,0.20736459203653657,59.408371145744354,0.0,False
1,finite_population,0.0006961553834215163,1.0,0.8558048154798559,0.0,1483,BUDGET_EXHAUSTED,0.3687010603848038,60.20962858933064,0.0,False
2,finite_population,0.00025429691632866864,1.0,0.9078179267266395,0.0,1438,BUDGET_EXHAUSTED,0.412700138147388,58.40366628277225,0.0,False
3,finite_population,0.0005244548202946005,1.0,0.3403753373216966,0.0,1387,BUDGET_EXHAUSTED,0.14753534885826136,57.95363995592488,0.0,False
4,finite_population,0.0009862500297951051,1.0,2.11847430582794,0.0,1476,BUDGET_EXHAUSTED,0.9593013744058627,59.55184355180591,0.0,False
