dataset,instance,K,gas_rmse,oddshap_rmse,shaplEIG_rmse,gas_evals
wine,0,256,0.00212768138365421,2.2871342969349104,0.07797960876632258,498
wine,0,1024,0.0013000202834239564,2.2871342969349104,0.07797960876632258,851
wine,0,2048,0.0008854210690665191,2.2871342969349104,0.07797960876632258,1219
wine,1,256,0.0022520600306487615,0.7034196703274648,0.08095426986974469,435
wine,1,1024,0.0018112513232258695,0.7034196703274648,0.08095426986974469,756
wine,1,2048,0.00152237031952787,0.7034196703274648,0.08095426986974469,1167
wine,2,256,0.0064171571167420186,1.5414427541109443,0.11369262389526663,441
wine,2,1024,0.0029657311900300526,1.5414427541109443,0.11369262389526663,814
wine,2,2048,0.0013139830731610845,1.5414427541109443,0.11369262389526663,1186
wine,3,256,0.004800407360021461,1.8296647236725279,0.11321906467396062,446
wine,3,1024,0.0014819167924280646,1.8296647236725279,0.11321906467396062,814
wine,3,2048,0.0016353088018891432,1.8296647236725279,0.11321906467396062,1185
wine,4,256,0.004153537012836824,1.45744149493179,0.12338309703251005,448
wine,4,1024,0.0044712882175093095,1.45744149493179,0.12338309703251005,855
wine,4,2048,0.0022590488378260365,1.45744149493179,0.12338309703251005,1256
wine,5,256,0.0032850012485097927,1.3977176373194018,0.07970009459182498,475
wine,5,1024,0.0017844975312724875,1.3977176373194018,0.07970009459182498,830
wine,5,2048,0.0009822351075995267,1.3977176373194018,0.07970009459182498,1245
wine,6,256,0.004071140040307037,2.162853475509824,0.0721978945852572,470
wine,6,1024,0.001342683939111905,2.162853475509824,0.0721978945852572,816
wine,6,2048,0.0012057995515864035,2.162853475509824,0.0721978945852572,1181
wine,7,256,0.0010380307993663428,2.3312312804897757,0.05910846278267203,480
wine,7,1024,0.0006248218611104345,2.3312312804897757,0.05910846278267203,803
wine,7,2048,0.0007970174810527024,2.3312312804897757,0.05910846278267203,1203
wine,8,256,0.005057570991302687,1.5250016722439441,0.075910202935243,489
wine,8,1024,0.0050159630447865625,1.5250016722439441,0.075910202935243,860
wine,8,2048,0.0027372801118124095,1.5250016722439441,0.075910202935243,1211
wine,9,256,0.0048271404735605985,2.585880723044787,0.11023950069681437,419
wine,9,1024,0.0026357059712898002,2.585880723044787,0.11023950069681437,811
wine,9,2048,0.0017852762525957593,2.585880723044787,0.11023950069681437,1215
wine,10,256,0.005278797173256346,0.8741297255055217,0.07699493923960468,436
wine,10,1024,0.0021356552437629553,0.8741297255055217,0.07699493923960468,765
wine,10,2048,0.002727806259906907,0.8741297255055217,0.07699493923960468,1162
wine,11,256,0.0073531451520956375,2.0805708516316863,0.09293539754282963,445
wine,11,1024,0.005394783755102975,2.0805708516316863,0.09293539754282963,807
wine,11,2048,0.00586048670907732,2.0805708516316863,0.09293539754282963,1159
wine,12,256,0.0030051621278296857,1.6461600974220971,0.0768849348006027,477
wine,12,1024,0.0023188176947888904,1.6461600974220971,0.0768849348006027,805
wine,12,2048,0.0012292665360992506,1.6461600974220971,0.0768849348006027,1139
wine,13,256,0.005697264366718344,0.8511767833128244,0.06985896222489205,474
wine,13,1024,0.002308445763125992,0.8511767833128244,0.06985896222489205,859
wine,13,2048,0.0019510487293229878,0.8511767833128244,0.06985896222489205,1247
wine,14,256,0.004281051027625379,1.4922975174557904,0.10684256026137977,457
wine,14,1024,0.0024376588459789073,1.4922975174557904,0.10684256026137977,817
wine,14,2048,0.0015017867559603375,1.4922975174557904,0.10684256026137977,1209
wine,15,256,0.00844835297038524,1.2558577632138417,0.08048080756205175,475
wine,15,1024,0.006871864676020091,1.2558577632138417,0.08048080756205175,853
wine,15,2048,0.003256372240601182,1.2558577632138417,0.08048080756205175,1249
wine,16,256,0.006145306317140337,1.1181549676672278,0.04450120556224381,456
wine,16,1024,0.003922078909742191,1.1181549676672278,0.04450120556224381,830
wine,16,2048,0.0038876394988849434,1.1181549676672278,0.04450120556224381,1212
wine,17,256,0.006004739402998786,2.1189596737390697,0.11751306866410134,452
wine,17,1024,0.004920030428468292,2.1189596737390697,0.11751306866410134,794
wine,17,2048,0.002359847628986805,2.1189596737390697,0.11751306866410134,1216
wine,18,256,0.00212865414911001,2.045422182830886,0.08471102010267473,418
wine,18,1024,0.0010549120742749931,2.045422182830886,0.08471102010267473,777
wine,18,2048,0.0016257054585785643,2.045422182830886,0.08471102010267473,1225
wine,19,256,0.002045372255742507,1.9590198180201168,0.06926283181175677,449
wine,19,1024,0.002104110699732337,1.9590198180201168,0.06926283181175677,841
wine,19,2048,0.00144036789284706,1.9590198180201168,0.06926283181175677,1226
air,0,256,0.0013354488310613319,1.2097540405273366,0.018416587136286185,507
air,0,1024,0.001371657225740851,1.2097540405273366,0.018416587136286185,903
air,0,2048,0.0013558954201519412,1.2097540405273366,0.018416587136286185,1273
air,1,256,0.003684718722579587,1.6501781922705507,0.050062102376635616,431
air,1,1024,0.0028995715927155772,1.6501781922705507,0.050062102376635616,771
air,1,2048,0.0019172731965166091,1.6501781922705507,0.050062102376635616,1230
air,2,256,0.007394770232274538,0.6263552941276852,0.13030497074156494,444
air,2,1024,0.004387919437080547,0.6263552941276852,0.13030497074156494,806
air,2,2048,0.002867668255213875,0.6263552941276852,0.13030497074156494,1146
air,3,256,0.003594556053132791,1.84193505088789,0.08139137801013127,438
air,3,1024,0.0023295475158846618,1.84193505088789,0.08139137801013127,783
air,3,2048,0.0016433823874216812,1.84193505088789,0.08139137801013127,1141
air,4,256,0.0021288125598945603,1.3472737616709407,0.020456588786129312,443
air,4,1024,0.001705910490251566,1.3472737616709407,0.020456588786129312,844
air,4,2048,0.0011313773629408668,1.3472737616709407,0.020456588786129312,1259
air,5,256,0.007137276409401478,0.5800854359541604,0.11093399994952903,487
air,5,1024,0.004347496698799655,0.5800854359541604,0.11093399994952903,808
air,5,2048,0.0029235687950767736,0.5800854359541604,0.11093399994952903,1155
air,6,256,0.005819254416178141,1.4539426760236764,0.10054037002675488,470
air,6,1024,0.005223037194353594,1.4539426760236764,0.10054037002675488,817
air,6,2048,0.0023580089275476164,1.4539426760236764,0.10054037002675488,1221
air,7,256,0.003573008933286646,1.5083443510274328,0.04191474930474922,478
