dataset,instance,nominal_K,gas_rmse,shaplEIG_rmse,gas_unique_evals,shaplEIG_unique_queries,gas_attempted_draws,gas_wall_s,shaplEIG_wall_s,matched_unique,source
wine,0,64,0.0016570376951814249,0.007939077638053713,356,64,60,6.4,11.8,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,0,128,0.001686847459645872,0.00790226163250116,408,128,120,7.5,26.7,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,0,256,0.00212768138365421,0.0003866801147557905,498,256,252,9.2,80.9,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,1,64,0.0024372334183306614,0.006625495905342153,337,64,60,5.9,11.4,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,1,128,0.0038088836901699237,0.0038362171693526116,365,128,120,6.5,24.6,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,1,256,0.0022520600306487615,0.0010385500823320273,435,256,252,8.1,64.0,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,0,64,0.0013712129800538544,0.0029026706406521147,366,64,60,7.2,11.5,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,0,128,0.0015639414221826633,0.0015089689625875705,419,128,120,7.8,24.4,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,0,256,0.0013354488310613319,0.0007288925088326768,507,256,252,9.8,67.9,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,1,64,0.0030670918627502108,0.009815074869420183,338,64,60,6.3,11.5,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,1,128,0.0029171993109935114,0.0016030948864726214,361,128,120,6.7,25.3,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,1,256,0.003684718722579587,0.0010087058957636702,431,256,252,8.0,72.0,False,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
