instance,cluster,regime,rmse_vs_exact,spearman_driver_corr,top3_gas
0,0,winter_smog,0.001178725154831452,0.5857516219953471,"PM10,CO,PM2.5"
1,1,photochemical,0.0014714377546784696,0.5777768819630807,"O3,NO2,TEMP"
2,2,clean_air,0.0038323107585693985,0.40024936794580945,"WSPM,DEWP,O3"
3,3,clean_air_2,0.002606349709499781,0.004708816093480112,"DEWP,WSPM,PRES"
4,0,winter_smog,0.0017665350306482796,0.5388914922357194,"CO,PM10,TEMP"
5,1,photochemical,0.0035170564939004004,0.3663950958790268,"NO2,TEMP,PRES"
6,2,clean_air,0.002829298777426063,0.2825289656088067,"O3,DEWP,WSPM"
7,3,clean_air_2,0.0023450142409633563,0.3767052874784089,"SO2,PM10,CO"
8,0,winter_smog,0.002321849710551311,0.3701950251010594,"PM2.5,SO2,TEMP"
9,1,photochemical,0.0013518965360475076,0.5073162866017294,"O3,TEMP,PRES"
10,2,clean_air,0.002416667539695666,0.20247909201964479,"O3,DEWP,NO2"
11,3,clean_air_2,0.0038791683325861566,-0.339034758730568,"TEMP,DEWP,PM10"
12,0,winter_smog,0.0008737537089921185,0.7263320112742304,"CO,PM2.5,PM10"
13,1,photochemical,0.0030641200804177446,0.375789841927207,"O3,TEMP,PRES"
14,2,clean_air,0.0032635180477006286,0.169517379365284,"O3,DEWP,NO2"
15,3,clean_air_2,0.007040079019917319,-0.1224292184304829,"DEWP,TEMP,PRES"
16,0,winter_smog,0.0012889185518023467,0.6279257387790121,"SO2,PM2.5,CO"
17,1,photochemical,0.002284196282846053,0.43685569124037815,"O3,NO2,WSPM"
18,2,clean_air,0.005403054646084813,0.1648085632718039,"DEWP,WSPM,PRES"
19,3,clean_air_2,0.0030883965620214604,-0.40495818403928957,"DEWP,TEMP,PRES"
20,0,winter_smog,0.0022809847672422105,0.6794718815146027,"PM10,PM2.5,CO"
21,1,photochemical,0.003708149086676852,0.3382108577344863,"O3,TEMP,PRES"
22,2,clean_air,0.001579708147606651,0.13655566671092323,"O3,DEWP,NO2"
23,3,clean_air_2,0.004221349084763084,-0.5791843794980537,"DEWP,TEMP,PRES"
24,0,winter_smog,0.0004743675539947692,0.6982159334184538,"CO,PM2.5,SO2"
25,1,photochemical,0.002918520042775169,0.48852679450536907,"WSPM,TEMP,O3"
26,2,clean_air,0.004197177314925958,0.028252896560880675,"SO2,DEWP,TEMP"
27,3,clean_air_2,0.002289982899449529,0.15068211499136358,"PM10,PM2.5,CO"
28,0,winter_smog,0.0007449843713572804,0.6185537128270866,"CO,PM2.5,PM10"
29,1,photochemical,0.002339027629536151,0.4791320484571889,"O3,NO2,TEMP"
30,2,clean_air,0.0020213425973017846,-0.023544080467400558,"TEMP,DEWP,NO2"
31,3,clean_air_2,0.0032887793458033577,0.2401496207674857,"NO2,PM10,PM2.5"
32,0,winter_smog,0.0011751649091701877,0.4826593365241661,"SO2,TEMP,PM2.5"
33,1,photochemical,0.0013096779590279582,0.2818423814454052,"O3,WSPM,NO2"
34,2,clean_air,0.0026008519403056896,0.2825289656088067,"WSPM,O3,PRES"
35,3,clean_air_2,0.0024106750856924108,-0.3296171265436078,"DEWP,TEMP,PRES"
36,0,winter_smog,0.0009548716837103896,0.567007570091496,"CO,TEMP,PM2.5"
37,1,photochemical,0.001139848052768087,0.47443467543309886,"O3,TEMP,PRES"
38,2,clean_air,0.0014712343371775939,-0.15539093108484367,"DEWP,TEMP,O3"
39,3,clean_air_2,0.00277418630444142,-0.30136422998272716,"PRES,TEMP,DEWP"
40,0,winter_smog,0.007064037478826093,0.7310180242501932,"SO2,CO,PM10"
41,1,photochemical,0.0020596224149403695,0.2207765321322341,"O3,TEMP,PRES"
42,2,clean_air,0.0016936779267413904,-0.014126448280440337,"DEWP,O3,PRES"
43,3,clean_air_2,0.007655896327334616,-0.2825289656088067,"DEWP,TEMP,PRES"
44,0,winter_smog,0.001340231489880489,0.5763795960434216,"PM10,PM2.5,NO2"
45,1,photochemical,0.004740430174368132,0.36169772285493673,"O3,TEMP,PRES"
46,2,clean_air,0.006735162636467719,-0.10830277015004257,"PRES,DEWP,O3"
47,3,clean_air_2,0.002043153442477021,-0.19777027592616467,"DEWP,TEMP,WSPM"
48,0,winter_smog,0.0008484735584348245,0.8622263875771511,"PM2.5,CO,SO2"
49,1,photochemical,0.003522069441011774,0.5308031517221798,"O3,TEMP,NO2"
50,2,clean_air,0.0027757993962172307,0.13655566671092323,"DEWP,NO2,WSPM"
51,3,clean_air_2,0.005020295788831396,-0.2448584368609658,"CO,PRES,NO2"
52,0,winter_smog,0.0011915323300067764,0.7122739723463422,"CO,PM10,SO2"
53,1,photochemical,0.0028547754850937355,0.46503992938491867,"O3,TEMP,NO2"
54,2,clean_air,0.003030068087693593,0.169517379365284,"SO2,PM2.5,PM10"
55,3,clean_air_2,0.0036863573813936215,0.19777027592616467,"WSPM,NO2,DEWP"
