phi_exact,phi_gas,W_gas,kernel_phi,mc_phi,exact_evals,gas_evals,kernel_evals,mc_evals,rmse_gas,mae_gas,rmse_kernel,rmse_mc,sim_cov,mar_cov,sign_cert,mean_width,max_width,status,converged,instance,cluster
"[-4.57147691e-04 -4.78846624e-04 -2.97835319e-03 -2.51418663e-03
 -6.72729131e-03 -1.99368897e-02 -1.66211613e-02 -2.56636757e-01
  2.07599566e-03  1.09923488e-04 -1.69269975e-02]","[-2.20253798e-04 -7.74691596e-04 -2.99280306e-03 -1.81415772e-03
 -6.38696838e-03 -1.90448826e-02 -1.59283096e-02 -2.60309964e-01
  2.57115288e-03  3.12406836e-04 -1.65032408e-02]","[ 6.78795045 11.47241737  9.07887131  9.38234419  6.82590034  8.37797686
  8.83907713 11.95550418  9.05436689  6.85483025  8.95180975]","[-0.00232068  0.00411274 -0.00237152 -0.00575849 -0.00761736 -0.02254866
 -0.0180073  -0.25028518  0.00265282  0.         -0.01894808]","[-3.33330286e-04 -2.44568849e-04 -2.04900285e-03 -1.57249276e-03
 -4.36326011e-03 -1.25915855e-02 -1.15006821e-02 -1.35797010e-01
  1.46279375e-03 -1.02033476e-05 -1.00455586e-02]",2048,1440,256,1662,0.0012054282578478782,0.0007242730278738507,0.002856509960888753,0.036602994403483836,1.0,1.0,0.0,8.871004428770908,11.955504177337517,BUDGET_EXHAUSTED,False,0,0
"[ 0.00161781  0.0103378   0.02696933  0.05701402  0.03112105 -0.0352044
  0.11740243  0.24006914 -0.04440759 -0.00117923 -0.00066467]","[ 0.00196837  0.01034867  0.02683014  0.05695179  0.03115531 -0.03685379
  0.11730321  0.24161155 -0.04410621 -0.00113726 -0.00099609]","[ 9.58727802  9.5965876   7.23606225 11.79849589 11.354738    7.22228991
 11.85371378  9.1452562   7.21561558  9.51280158  8.69541015]","[ 0.          0.00764663  0.02799146  0.05296192  0.0315937  -0.03086347
  0.11797616  0.2368885  -0.04686157  0.01058509 -0.00484271]","[ 0.00084959  0.00357504  0.01201141  0.01907903  0.01482381 -0.02301522
  0.04239713  0.0899884  -0.02222381 -0.00051046 -0.00127   ]",2048,1420,256,1602,0.0007044804089567068,0.00041480707130980203,0.004459044071625318,0.05288603630550727,1.0,1.0,0.0,9.383477179187144,11.853713784916538,BUDGET_EXHAUSTED,False,1,1
"[0.00118521 0.00044237 0.00319936 0.01877295 0.01177191 0.05491395
 0.06266741 0.34604215 0.04431065 0.00095938 0.06504184]","[0.00224096 0.00131736 0.00389975 0.01859499 0.01286632 0.05473138
 0.06061085 0.3460313  0.04270872 0.0022727  0.06403284]","[ 9.41088827 11.29699125  6.97032112  9.12927203 10.0631997   8.70542982
  7.09081164  9.72215956  7.11435084 11.40266201  9.66559821]","[-0.00303473  0.          0.00831853  0.00570697  0.01278237  0.05688763
  0.06788792  0.3446333   0.04181137  0.00909467  0.06521915]","[7.66507099e-04 8.62437201e-05 1.63860035e-03 1.17874473e-02
 6.68046295e-03 3.22084297e-02 3.54703392e-02 1.40503381e-01
 2.40073138e-02 5.95955230e-04 3.33410013e-02]",2048,1435,256,1648,0.0010942888659043627,0.0009161579447974199,0.0054066040251085,0.06395748951571784,1.0,1.0,0.0,9.142880402511857,11.402662010971575,BUDGET_EXHAUSTED,False,2,0
"[ 0.00144034  0.00077747  0.00223419  0.03189686  0.01398455  0.03958687
 -0.05553095  0.34148249  0.00931503 -0.00183674  0.03853098]","[ 0.00146998  0.00069872  0.00195368  0.03018824  0.01366768  0.04057256
 -0.05347442  0.34026657  0.00855779 -0.00239334  0.04037362]","[10.94062141 11.50035057  6.6560276   8.64216056  6.76034017 10.88789774
  6.70007979  6.88371911  6.96154655 10.86851964  8.95474082]","[ 0.00209623  0.00304825 -0.00465406  0.0386334   0.01563048  0.04011429
 -0.05735598  0.3417596   0.00766734  0.          0.03494153]","[ 0.00094727  0.00058306  0.00246755  0.02095423  0.01074001  0.02080101
 -0.03707669  0.17316113  0.00603531 -0.00124078  0.02256619]",2048,1431,256,1683,0.001130705940385521,0.0008935468613556857,0.003354549929083423,0.051717886341284165,1.0,1.0,0.0,8.705091268748555,11.500350574889897,BUDGET_EXHAUSTED,False,3,1
"[ 2.59031726e-03  9.43100870e-03  4.78637330e-02  7.91421254e-02
 -1.84372175e-02  5.26239657e-02  1.14660008e-01  3.63099948e-01
  3.10183548e-02  9.33513715e-05 -2.58362753e-02]","[ 0.00310542  0.00895104  0.04500562  0.07477068 -0.01866545  0.05256522
  0.11369352  0.3710456   0.03289724 -0.0005453  -0.02657427]","[ 6.93954416  9.32429339 11.19499369 12.08724676  6.96099444  9.60544169
  7.4213318   9.05874278  7.02981923  9.42547169 10.71533405]","[ 0.          0.01937724  0.05058889  0.07071485 -0.01237572  0.04067393
  0.10462771  0.38107182  0.02503412 -0.01710146 -0.00636207]","[ 0.00134327  0.00670415  0.02963208  0.03768747 -0.01098238  0.02625867
  0.05287423  0.15394124  0.01597165 -0.00031096 -0.01585496]",2048,1478,256,1632,0.00296003385562431,0.0018799338828124274,0.011669618837296772,0.06789136684683855,1.0,1.0,0.0,9.069383061029642,12.087246760120212,BUDGET_EXHAUSTED,False,4,0
"[ 1.83597168e-04  1.98207720e-03  4.10973793e-03  1.03376793e-02
  1.71337838e-03  2.70156757e-03  6.96690725e-02  2.69441411e-01
 -1.41309730e-02 -1.38424162e-03  3.31879991e-02]","[ 0.00037763  0.00173576  0.0049326   0.01029744  0.001884    0.00146139
  0.06921476  0.26837441 -0.01369266 -0.00076382  0.03398979]","[ 8.86912395  9.24930375  7.10794824  9.3643105   7.19696806  9.4371297
  7.1122889  11.26057718 12.43410251  9.68556892  9.55441436]","[ 0.00113381  0.00340949  0.00220009  0.00750274  0.00224631  0.00450055
  0.06735937  0.27027844 -0.0116529   0.          0.0308334 ]","[ 0.00025761  0.00107446  0.00250672  0.00629986  0.00094742  0.00069008
  0.0321951   0.13352584 -0.00958427 -0.00078925  0.0193384 ]",2048,1474,256,1674,0.0006680355585711858,0.0005541891550598714,0.0018532731498482264,0.042762042075050986,1.0,1.0,0.0,9.206521462784686,12.43410251044774,BUDGET_EXHAUSTED,False,5,1
"[ 1.21113777e-04  2.47391768e-03  4.62052884e-03 -1.42220543e-02
 -1.30412953e-02 -2.85680482e-02 -5.46244510e-02 -2.28813150e-01
 -8.31793641e-03 -7.61399408e-05 -1.87641391e-02]","[ 1.40577214e-04  2.90420605e-03  5.01223296e-03 -1.41161328e-02
 -1.32963145e-02 -2.70440282e-02 -5.49446348e-02 -2.30985800e-01
 -8.40105019e-03  1.52888878e-05 -1.84959983e-02]","[ 8.74534923  8.10826727  6.57406565  8.7072722  10.63159021  9.0933658
 10.46536538  7.7249739   6.53736607  7.98554801  9.00343343]","[ 0.          0.00282511  0.0041574  -0.01546655 -0.01241319 -0.02580542
 -0.05236619 -0.2341938  -0.00997984 -0.00172877 -0.01424039]","[-4.48004145e-05  1.18100613e-03  3.66759269e-03 -1.08341762e-02
 -8.44313596e-03 -2.19399480e-02 -3.79938333e-02 -1.35022797e-01
 -6.30761628e-03 -9.22054712e-05 -1.43300051e-02]",2048,1432,256,1640,0.0008338271304763833,0.0005147213013616229,0.0025214796496383293,0.028882317015967194,1.0,1.0,0.0,8.506963375561593,10.631590210778098,BUDGET_EXHAUSTED,False,6,0
"[ 1.32320676e-04  5.02962103e-04 -1.39148097e-03  9.78646697e-03
  1.09572882e-02  2.26723083e-02  2.36916688e-02  1.42245426e-01
  7.77745871e-04  9.11454328e-05  9.28859292e-03]","[-0.0001655   0.00028611 -0.00119726  0.0090028   0.01103271  0.02315575
  0.02380887  0.14230313  0.00100044  0.00016934  0.00935804]","[ 6.92520609  6.93568005 11.91823036  6.97098617  9.50290805  8.89947073
  9.59346367 10.69521392  9.58311692  9.76599999  8.55916248]","[-0.00038833  0.          0.00019878  0.00748398  0.01459034  0.02644073
  0.02165857  0.1394148  -0.00123406 -0.00060256  0.0111922 ]","[ 4.23417117e-05  3.22945080e-04 -8.77721955e-04  6.29963023e-03
  8.41875537e-03  1.64138733e-02  1.48078009e-02  8.31973019e-02
  5.55511816e-04  8.93345205e-05  6.37866835e-03]",2048,1421,256,1619,0.0003168852113073257,0.00023606163292813856,0.002257367901778929,0.01817139553155818,1.0,1.0,0.0,9.031767129273433,11.918230358556832,BUDGET_EXHAUSTED,False,7,1
"[ 0.00165697  0.0002021  -0.00415932 -0.04585405 -0.0083974  -0.10524832
 -0.1104527  -0.19126144  0.01735858  0.00087884 -0.00748618]","[ 2.66594978e-03  9.60039767e-05 -3.70625798e-03 -4.77225711e-02
 -7.54537680e-03 -1.04424408e-01 -1.12835786e-01 -1.91452758e-01
  1.83467899e-02  1.54732786e-03 -7.73182695e-03]","[ 9.97259595  8.61991058  9.17363521  6.81883131  9.15041955  8.38249884
  7.11793624  9.12263544  9.30673543 11.38331443  9.24483117]","[ 0.0069238   0.         -0.01658354 -0.04521628 -0.004039   -0.10796112
 -0.10304077 -0.18614364  0.01141876 -0.00447037 -0.00365075]","[ 0.00087838  0.00040219 -0.00211127 -0.02401259 -0.00251769 -0.05281943
 -0.05464303 -0.09272043  0.00870254  0.0004734  -0.00250279]",2048,1427,256,1664,0.0011008334000096904,0.0008717576313570896,0.005789001227307549,0.03836454853305616,1.0,1.0,0.0,8.935758558858284,11.383314428555234,BUDGET_EXHAUSTED,False,8,0
"[ 2.32962187e-04  5.51357222e-04 -4.71236695e-03 -2.05716204e-02
 -8.29826474e-03 -8.28724708e-02 -3.50570682e-02 -3.52142040e-01
  3.38962868e-03  6.65391950e-04 -3.24459025e-02]","[-0.00059012  0.00067816 -0.00441851 -0.02514065 -0.00938323 -0.07749173
 -0.03487607 -0.35041956  0.00278    -0.00045441 -0.03194427]","[11.2021436   6.93740663 11.4768857   9.27092808  9.4430613   8.83181005
  7.12244589  8.94654917 11.02764368  6.80450788  6.8656242 ]","[-0.00127341 -0.00145868 -0.00562707 -0.02617026 -0.00433617 -0.07262821
 -0.03725058 -0.3513515   0.00329327  0.         -0.03445779]","[ 0.0002349   0.00060633 -0.00208678 -0.01173456 -0.00601231 -0.05463881
 -0.0171086  -0.20876761  0.00320771  0.00074585 -0.02384011]",2048,1501,256,1643,0.0022696090454916,0.0014920931384407115,0.0039204600289302624,0.044558265316302394,1.0,1.0,0.0,8.902636925013903,11.476885695639156,BUDGET_EXHAUSTED,False,9,1
