phi_exact,phi_gas,W_gas,kernel_phi,mc_phi,exact_evals,gas_evals,kernel_evals,mc_evals,rmse_gas,mae_gas,rmse_kernel,rmse_mc,sim_cov,mar_cov,sign_cert,mean_width,max_width,status,converged,delta1_coupon,reported_coverage_level,coupon_threshold_satisfied,certificate_at_nominal_level,certificate_is_rigorous,instance,cluster
"[-4.57147691e-04 -4.78846624e-04 -2.97835319e-03 -2.51418663e-03
 -6.72729131e-03 -1.99368897e-02 -1.66211613e-02 -2.56636757e-01
  2.07599566e-03  1.09923488e-04 -1.69269975e-02]","[-2.20253798e-04 -7.74691596e-04 -2.99280306e-03 -1.81415772e-03
 -6.38696838e-03 -1.90448826e-02 -1.59283096e-02 -2.60309964e-01
  2.57115288e-03  3.12406836e-04 -1.65032408e-02]","[1.0080406  1.70978301 1.35354869 1.39754227 1.01658548 1.26244656
 1.33278094 1.79901414 1.34904079 1.01770367 1.34343305]","[-0.00271597  0.         -0.00114972  0.00088362 -0.004675   -0.02061255
 -0.01751067 -0.25373133  0.00314024 -0.00620483 -0.0185155 ]","[-3.33330286e-04 -2.44568849e-04 -2.04900285e-03 -1.57249276e-03
 -4.36326011e-03 -1.25915855e-02 -1.15006821e-02 -1.35797010e-01
  1.46279375e-03 -1.02033476e-05 -1.00455586e-02]",2048,1440,256,1662,0.0012054282578478782,0.0007242730278738507,0.0026569602837839172,0.036602994403483836,1.0,1.0,0.0,1.3263562913564229,1.7990141398034711,BUDGET_EXHAUSTED,False,59.58239416186495,0.0,False,False,False,0,0
"[ 0.00161781  0.0103378   0.02696933  0.05701402  0.03112105 -0.0352044
  0.11740243  0.24006914 -0.04440759 -0.00117923 -0.00066467]","[ 0.00196837  0.01034867  0.02683014  0.05695179  0.03115531 -0.03685379
  0.11730321  0.24161155 -0.04410621 -0.00113726 -0.00099609]","[1.87718535 1.88426636 1.41947494 2.33450163 2.2307237  1.43192803
 2.37476725 1.83952409 1.42445022 1.86209561 1.71186338]","[ 0.          0.0071675   0.02988091  0.0569843   0.03413727 -0.03552159
  0.11395161  0.24546759 -0.04165707 -0.00417833 -0.00315649]","[ 0.00084959  0.00357504  0.01201141  0.01907903  0.01482381 -0.02301522
  0.04239713  0.0899884  -0.02222381 -0.00051046 -0.00127   ]",2048,1420,256,1602,0.0007044804089567068,0.00041480707130980203,0.0029258245173885275,0.05288603630550727,1.0,1.0,0.0,1.8537073218094442,2.3747672483871547,BUDGET_EXHAUSTED,False,60.18498737849252,0.0,False,False,False,1,1
"[0.00118521 0.00044237 0.00319936 0.01877295 0.01177191 0.05491395
 0.06266741 0.34604215 0.04431065 0.00095938 0.06504184]","[0.00224096 0.00131736 0.00389975 0.01859499 0.01286632 0.05473138
 0.06061085 0.3460313  0.04270872 0.0022727  0.06403284]","[2.4022024  2.88764704 1.77635874 2.34112425 2.58723662 2.25707905
 1.83301445 2.52226765 1.83565535 2.91434961 2.49776232]","[ 0.00312867 -0.01063336  0.01200248  0.0150991   0.01668176  0.04672716
  0.0583944   0.34717859  0.0518692   0.          0.06885918]","[7.66507099e-04 8.62437201e-05 1.63860035e-03 1.17874473e-02
 6.68046295e-03 3.22084297e-02 3.54703392e-02 1.40503381e-01
 2.40073138e-02 5.95955230e-04 3.33410013e-02]",2048,1435,256,1648,0.0010942888659043627,0.0009161579447974199,0.006035841700006302,0.06395748951571784,1.0,1.0,0.0,2.350427044158087,2.914349614205107,BUDGET_EXHAUSTED,False,59.31900219461208,0.0,False,False,False,2,0
"[ 0.00144034  0.00077747  0.00223419  0.03189686  0.01398455  0.03958687
 -0.05553095  0.34148249  0.00931503 -0.00183674  0.03853098]","[ 0.00146998  0.00069872  0.00195368  0.03018824  0.01366768  0.04057256
 -0.05347442  0.34026657  0.00855779 -0.00239334  0.04037362]","[2.50684574 2.63331198 1.52218871 1.98872315 1.54780634 2.51771261
 1.55382392 1.60470541 1.59474956 2.49033675 2.07628678]","[ 0.          0.00358907  0.00613819  0.03086312  0.00988543  0.03980748
 -0.05308185  0.33716487  0.00603333 -0.00418928  0.04567071]","[ 0.00094727  0.00058306  0.00246755  0.02095423  0.01074001  0.02080101
 -0.03707669  0.17316113  0.00603531 -0.00124078  0.02256619]",2048,1431,256,1683,0.001130705940385521,0.0008935468613556857,0.003504030388166574,0.051717886341284165,1.0,1.0,0.0,2.0033173610919413,2.6333119844722264,BUDGET_EXHAUSTED,False,58.272347832418035,0.0,False,False,False,3,1
"[ 2.59031726e-03  9.43100870e-03  4.78637330e-02  7.91421254e-02
 -1.84372175e-02  5.26239657e-02  1.14660008e-01  3.63099948e-01
  3.10183548e-02  9.33513715e-05 -2.58362753e-02]","[ 0.00310542  0.00895104  0.04500562  0.07477068 -0.01866545  0.05256522
  0.11369352  0.3710456   0.03289724 -0.0005453  -0.02657427]","[1.99769503 2.69927522 3.26345616 3.53652916 2.0144306  2.82680682
 2.20096316 2.67741049 2.03743451 2.72124728 3.10732471]","[ 0.          0.01126099  0.05583364  0.07561956 -0.02858238  0.05747964
  0.1098428   0.3661129   0.02706809  0.00966395 -0.02804988]","[ 0.00134327  0.00670415  0.02963208  0.03768747 -0.01098238  0.02625867
  0.05287423  0.15394124  0.01597165 -0.00031096 -0.01585496]",2048,1478,256,1632,0.00296003385562431,0.0018799338828124274,0.005695873619837576,0.06789136684683855,1.0,1.0,0.0,2.6438702864339856,3.536529158338497,BUDGET_EXHAUSTED,False,60.42985196841669,0.0,False,False,False,4,0
"[ 1.83597168e-04  1.98207720e-03  4.10973793e-03  1.03376793e-02
  1.71337838e-03  2.70156757e-03  6.96690725e-02  2.69441411e-01
 -1.41309730e-02 -1.38424162e-03  3.31879991e-02]","[ 0.00037763  0.00173576  0.0049326   0.01029744  0.001884    0.00146139
  0.06921476  0.26837441 -0.01369266 -0.00076382  0.03398979]","[1.40169124 1.46158399 1.12613501 1.49046931 1.13910952 1.50394123
 1.14041455 1.80015753 1.97195333 1.53313666 1.5266486 ]","[ 0.          0.00143421  0.00314254  0.00787451  0.00441378  0.00300926
  0.07032949  0.26848895 -0.01334612 -0.00198768  0.03445235]","[ 0.00025761  0.00107446  0.00250672  0.00629986  0.00094742  0.00069008
  0.0321951   0.13352584 -0.00958427 -0.00078925  0.0193384 ]",2048,1474,256,1674,0.0006680355585711858,0.0005541891550598714,0.0013019365171073104,0.042762042075050986,1.0,1.0,0.0,1.463203724666443,1.9719533289517819,BUDGET_EXHAUSTED,False,60.89685029520063,0.0,False,False,False,5,1
"[ 1.21113777e-04  2.47391768e-03  4.62052884e-03 -1.42220543e-02
 -1.30412953e-02 -2.85680482e-02 -5.46244510e-02 -2.28813150e-01
 -8.31793641e-03 -7.61399408e-05 -1.87641391e-02]","[ 1.40577214e-04  2.90420605e-03  5.01223296e-03 -1.41161328e-02
 -1.32963145e-02 -2.70440282e-02 -5.49446348e-02 -2.30985800e-01
 -8.40105019e-03  1.52888878e-05 -1.84959983e-02]","[1.39143152 1.29008201 1.0446427  1.39052496 1.69740027 1.46360645
 1.6922388  1.25244158 1.04064766 1.26938356 1.44312345]","[ 0.          0.00600229  0.00511874 -0.01325713 -0.01218518 -0.02758626
 -0.05252821 -0.2349241  -0.01067641 -0.00335508 -0.0158203 ]","[-4.48004145e-05  1.18100613e-03  3.66759269e-03 -1.08341762e-02
 -8.44313596e-03 -2.19399480e-02 -3.79938333e-02 -1.35022797e-01
 -6.30761628e-03 -9.22054712e-05 -1.43300051e-02]",2048,1432,256,1640,0.0008338271304763833,0.0005147213013616229,0.0027312699200881456,0.028882317015967194,1.0,1.0,0.0,1.3614111778497995,1.6974002679698899,BUDGET_EXHAUSTED,False,58.88133681786965,0.0,False,False,False,6,0
"[ 1.32320676e-04  5.02962103e-04 -1.39148097e-03  9.78646697e-03
  1.09572882e-02  2.26723083e-02  2.36916688e-02  1.42245426e-01
  7.77745871e-04  9.11454328e-05  9.28859292e-03]","[-0.0001655   0.00028611 -0.00119726  0.0090028   0.01103271  0.02315575
  0.02380887  0.14230313  0.00100044  0.00016934  0.00935804]","[0.62627873 0.62764206 1.08216073 0.63754885 0.86418549 0.81757172
 0.883307   0.98595999 0.86837517 0.88397529 0.77987189]","[0.00062403 0.00092168 0.         0.01104938 0.01185631 0.02173047
 0.01990949 0.14195279 0.00138366 0.00078024 0.0085464 ]","[ 4.23417117e-05  3.22945080e-04 -8.77721955e-04  6.29963023e-03
  8.41875537e-03  1.64138733e-02  1.48078009e-02  8.31973019e-02
  5.55511816e-04  8.93345205e-05  6.37866835e-03]",2048,1421,256,1619,0.0003168852113073257,0.00023606163292813856,0.0013956732986794506,0.01817139553155818,1.0,1.0,0.0,0.8233524482808722,1.0821607319466133,BUDGET_EXHAUSTED,False,59.250688871336216,0.0,False,False,False,7,1
"[ 0.00165697  0.0002021  -0.00415932 -0.04585405 -0.0083974  -0.10524832
 -0.1104527  -0.19126144  0.01735858  0.00087884 -0.00748618]","[ 2.66594978e-03  9.60039767e-05 -3.70625798e-03 -4.77225711e-02
 -7.54537680e-03 -1.04424408e-01 -1.12835786e-01 -1.91452758e-01
  1.83467899e-02  1.54732786e-03 -7.73182695e-03]","[1.45608405 1.25606374 1.34176446 1.01581559 1.33707961 1.26557046
 1.09223394 1.38014363 1.36769338 1.66522142 1.35570426]","[-0.00213248  0.00754504 -0.00973912 -0.03842048 -0.01259773 -0.10063642
 -0.11271394 -0.18968344  0.01544944  0.         -0.00983379]","[ 0.00087838  0.00040219 -0.00211127 -0.02401259 -0.00251769 -0.05281943
 -0.05464303 -0.09272043  0.00870254  0.0004734  -0.00250279]",2048,1427,256,1664,0.0011008334000096904,0.0008717576313570896,0.004380899648259022,0.03836454853305616,1.0,1.0,0.0,1.3212158670525587,1.6652214158703553,BUDGET_EXHAUSTED,False,59.128428364513525,0.0,False,False,False,8,0
"[ 2.32962187e-04  5.51357222e-04 -4.71236695e-03 -2.05716204e-02
 -8.29826474e-03 -8.28724708e-02 -3.50570682e-02 -3.52142040e-01
  3.38962868e-03  6.65391950e-04 -3.24459025e-02]","[-0.00059012  0.00067816 -0.00441851 -0.02514065 -0.00938323 -0.07749173
 -0.03487607 -0.35041956  0.00278    -0.00045441 -0.03194427]","[2.8771754  1.77403435 2.94966704 2.39487115 2.4279516  2.31655934
 1.84779739 2.33976406 2.83512965 1.74198531 1.78522485]","[-0.00446817 -0.00216523 -0.00388967 -0.01758979 -0.0060696  -0.07863635
 -0.02977695 -0.35851582  0.00413912  0.         -0.03428794]","[ 0.0002349   0.00060633 -0.00208678 -0.01173456 -0.00601231 -0.05463881
 -0.0171086  -0.20876761  0.00320771  0.00074585 -0.02384011]",2048,1501,256,1643,0.0022696090454916,0.0014920931384407115,0.0035014619604666923,0.044558265316302394,1.0,1.0,0.0,2.299105467572105,2.9496670352504712,BUDGET_EXHAUSTED,False,59.812985473957006,0.0,False,False,False,9,1
